estate_name,long_lat
北京市东板桥东巷,"['116.402337,39.931049']"
北京市东中街,"['116.436597,39.935362']"
北京市东直门外小街8号院,"['116.445778,39.943909']"
北京市胡家园小区,"['116.444719,39.944671']"
北京市富区,['error']
北京市前门东大街,"['116.406756,39.900843']"
北京市安外大街3号院,"['116.406890,39.961922']"
