id_estate,estate_name,long_lat,lon,lat,precise,confidence,comprehension
3001,北京市东城区安外大街,"(116.41396410848259, 39.97123307176794)",116.41396410848259,39.97123307176794,0,30,100
3002,北京市东城区安外大街3号院,"(116.4128203697378, 39.96825117324879)",116.4128203697378,39.96825117324879,1,80,100
3003,北京市东城区安外大街80号院,"(116.41517437932669, 39.96571484120606)",116.41517437932669,39.96571484120606,1,80,100
3004,北京市东城区安外花园,"(116.41739202613917, 39.96490552858546)",116.41739202613917,39.96490552858546,1,70,100
3005,北京市东城区安外西河沿,"(116.41029397532154, 39.957151522871435)",116.41029397532154,39.957151522871435,1,70,100
3006,北京市东城区安外西河沿路1号院,"(116.41114287402846, 39.95668065590916)",116.41114287402846,39.95668065590916,0,30,100
3007,北京市海淀区安宁佳园,"(116.33419087997447, 40.05697642007909)",116.33419087997447,40.05697642007909,1,70,100
3008,北京市海淀区安宁庄东路2号院,"(116.33286300476962, 40.05564631298009)",116.33286300476962,40.05564631298009,1,80,100
3009,北京市海淀区安宁庄后街15号院,"(116.33306251842338, 40.05514975964761)",116.33306251842338,40.05514975964761,1,80,100
3010,北京市海淀区安宁里,"(116.33849008031467, 40.05116726035025)",116.33849008031467,40.05116726035025,1,70,100
3011,北京市海淀区安宁里南区,"(116.33849008031467, 40.05116726035025)",116.33849008031467,40.05116726035025,1,70,100
3012,北京市东城区安定路,"(116.41363223669838, 39.981758562568785)",116.41363223669838,39.981758562568785,0,30,100
3013,北京市东城区安定门东大街,"(116.42679872211745, 39.955795740722365)",116.42679872211745,39.955795740722365,0,30,100
3014,北京市东城区安定门内大街,"(116.41472055538304, 39.951044931553376)",116.41472055538304,39.951044931553376,0,30,100
3015,北京市西城区安居园小区,"(0, 0)",0.0,0.0,0,0,0
3016,北京市西城区安平里,"(116.38712011858897, 39.90238766483147)",116.38712011858897,39.90238766483147,0,30,100
3017,北京市西城区安平里胡同,"(116.39014839629365, 39.90266794824674)",116.39014839629365,39.90266794824674,0,30,100
3018,北京市西城区安德东里,"(116.39902940388751, 39.96298741634525)",116.39902940388751,39.96298741634525,1,70,100
3019,北京市西城区安德路,"(116.39323021300673, 39.95770126680339)",116.39323021300673,39.95770126680339,0,30,100
3020,北京市东城区安德路47号院,"(116.40796673523683, 39.95859369248124)",116.40796673523683,39.95859369248124,1,80,100
3021,北京市东城区安德路55号院,"(116.40621414118687, 39.95796950040469)",116.40621414118687,39.95796950040469,1,80,100
3022,北京市东城区安德路59号,"(116.40448023189151, 39.958021211296604)",116.40448023189151,39.958021211296604,1,80,100
3023,北京市东城区安德路乙61号院,"(116.40061832667357, 39.95888203976681)",116.40061832667357,39.95888203976681,1,70,100
3024,北京市东城区安德里北街24号院,"(116.40319251094294, 39.96372451483441)",116.40319251094294,39.96372451483441,1,80,100
3025,北京市东城区安德里北街25号院,"(116.39397490827452, 39.9632071711078)",116.39397490827452,39.9632071711078,1,80,100
3026,北京市西城区安德馨居,"(116.3904993642564, 39.957128155890324)",116.3904993642564,39.957128155890324,1,70,100
3027,北京市朝阳区安慧东里,"(116.42875990270683, 39.99664238070115)",116.42875990270683,39.99664238070115,1,70,100
3028,北京市朝阳区安慧北里安园,"(116.41693748355112, 40.00712578178746)",116.41693748355112,40.00712578178746,1,70,100
3029,北京市朝阳区安慧北里小区,"(116.42074324467468, 40.00204494676052)",116.42074324467468,40.00204494676052,1,70,100
3030,北京市朝阳区安慧北里秀园,"(116.42127243645062, 40.00498668926749)",116.42127243645062,40.00498668926749,0,50,100
3031,北京市朝阳区安慧北里逸园,"(116.42092119899621, 40.007131239274656)",116.42092119899621,40.007131239274656,1,70,100
3032,北京市朝阳区安慧北里雅园,"(116.41824523671254, 40.00436568763787)",116.41824523671254,40.00436568763787,1,70,100
3033,北京市朝阳区安慧里一区,"(116.4205639428949, 39.999297358143465)",116.4205639428949,39.999297358143465,1,70,100
3034,北京市朝阳区安慧里三区,"(116.41634280530351, 39.997189662650165)",116.41634280530351,39.997189662650165,1,70,100
3035,北京市朝阳区安慧里二区,"(116.41620527472993, 40.00013299779502)",116.41620527472993,40.00013299779502,1,70,100
3036,北京市朝阳区安慧里五区,"(116.42196781474588, 39.99676716220371)",116.42196781474588,39.99676716220371,1,70,100
3037,北京市朝阳区安慧里四区,"(116.41929418805655, 39.99693547177334)",116.41929418805655,39.99693547177334,1,70,100
3038,北京市朝阳区安新路6号院,"(116.45334131434298, 39.98043617495837)",116.45334131434298,39.98043617495837,1,70,100
3039,北京市昌平区安福苑,"(116.2427958401005, 40.23193513828418)",116.2427958401005,40.23193513828418,1,70,100
3040,北京市昌平区安福街,"(116.24466846752931, 40.23330033487919)",116.24466846752931,40.23330033487919,0,30,100
3041,北京市朝阳区安立花园,"(116.41537730654139, 40.009858338967554)",116.41537730654139,40.009858338967554,1,70,100
3042,北京市朝阳区安翔南里,"(116.3882522530232, 39.996431440019414)",116.3882522530232,39.996431440019414,1,70,100
3043,北京市朝阳区安翔路甲1号,"(116.386213009685, 39.99710405729421)",116.386213009685,39.99710405729421,1,80,100
3044,北京市朝阳区安翔里小区,"(116.38715766775928, 39.99812212528397)",116.38715766775928,39.99812212528397,1,70,100
3045,北京市朝阳区安苑东里一区,"(116.41905326251877, 39.9901618560098)",116.41905326251877,39.9901618560098,1,70,100
3046,北京市朝阳区安苑东里三区,"(116.42012772573925, 39.99253793610439)",116.42012772573925,39.99253793610439,1,70,100
3047,北京市朝阳区安苑北里,"(116.41875233017294, 39.99399724896699)",116.41875233017294,39.99399724896699,0,50,100
3048,北京市朝阳区安苑里,"(116.41468713841807, 39.987318838942336)",116.41468713841807,39.987318838942336,1,70,100
3049,北京市海淀区安装宿舍,"(116.2828947607771, 39.936285407017714)",116.2828947607771,39.936285407017714,0,50,100
3050,北京市东城区安贞苑50号院,"(116.41560673376864, 39.976889943961794)",116.41560673376864,39.976889943961794,1,70,100
